Номер_ДТП;Номер_ТС;Оставление_места;Привод;Тип_ТС;Год_выпуска;Марка_модель;Форма_собственности;Цвет;Места_повреждения;Технические_неисправности
930002068.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2019.0;Прочие марки мотоциклов Прочие марки мотоциклов;Физические лица;Синий;;Технические неисправности отсутствуют
930002068.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2004.0;FORD Focus;Физические лица;Белый;;Технические неисправности отсутствуют
930002061.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;2023.0;ВАЗ Прочие модели ВАЗ;Физические лица;Белый;;Технические неисправности отсутствуют
930002061.0;2.0;Осталось на месте ДТП;С задним приводом;Минивэны и универсалы повышенной вместимости;2002.0;NISSAN Wingroad;Физические лица;Серый;;Технические неисправности отсутствуют
930002065.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Тракторы;1999.0;Прочие марки ТС Прочие марки и модели ТС;Физические лица;Синий;;Технические неисправности отсутствуют
930002064.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;1998.0;TOYOTA Caldina;Физические лица;Белый;;Технические неисправности отсутствуют
930002045.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;2003.0;INFINITI FX-серия;Физические лица;Серый;;Технические неисправности отсутствуют
930002050.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2014.0;ВАЗ Granta (Гранта);Физические лица;Синий;;Технические неисправности отсутствуют
930002030.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;2021.0;УАЗ Patriot (Патриот);Юридические лица, являющиеся коммерческими организациями;Белый;;Технические неисправности отсутствуют
930002022.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2023.0;DAEWOO Racer;Физические лица;Черный;;Технические неисправности отсутствуют
930002022.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2002.0;TOYOTA Corolla;Физические лица;Белый;;Технические неисправности отсутствуют
930002022.0;3.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2011.0;SKODA Octavia;Физические лица;Черный;;Технические неисправности отсутствуют
930002024.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2012.0;ВАЗ Priora;Физические лица;Белый;;Технические неисправности отсутствуют
930002024.0;2.0;Осталось на месте ДТП;С задним приводом;Цистерны;1994.0;HINDUSTAN Прочие модели HINDUSTAN;Физические лица;Белый;;Технические неисправности отсутствуют
930002015.0;1.0;Скрылось с места ДТП;;В-класс (малый) до 3,9 м;; ;;;;Технические неисправности отсутствуют
930002007.0;1.0;Осталось на месте ДТП;С задним приводом;Минивэны и универсалы повышенной вместимости;2004.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930002007.0;2.0;Осталось на месте ДТП;С задним приводом;Прочие одноярусные;2023.0;ПАЗ 32053;Юридические лица, являющиеся коммерческими организациями;Белый;;Технические неисправности отсутствуют
930002002.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;2010.0;TOYOTA Land Cruiser;Физические лица;Черный;;Технические неисправности отсутствуют
930001996.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2024.0;Прочие марки мотоциклов Прочие марки мотоциклов;Физические лица;Зеленый;;Технические неисправности отсутствуют
930001996.0;2.0;Осталось на месте ДТП;С задним приводом;С-класс (малый средний, компактный) до 4,3 м;2009.0;ВАЗ  Жигули  ВАЗ-2104 модификации;Физические лица;Белый;;Технические неисправности отсутствуют
