Номер_ДТП;Номер_ТС;Оставление_места;Привод;Тип_ТС;Год_выпуска;Марка_модель;Форма_собственности;Цвет;Места_повреждения;Технические_неисправности
930001454.0;1.0;Скрылось с места ДТП;Иное расположение рулевого управления;Мотоциклы;; ;;;;Технические неисправности отсутствуют
930001459.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2006.0;HONDA Civic;Физические лица;Синий;;Технические неисправности отсутствуют
930001452.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2014.0;FORD Focus;Физические лица;Синий;;Технические неисправности отсутствуют
930001452.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1997.0;TOYOTA Corona;Физические лица;Белый;;Технические неисправности отсутствуют
930001457.0;1.0;Осталось на месте ДТП;Полноприводные;В-класс (малый) до 3,9 м;2000.0;УАЗ УАЗ 3151, 31512, 31514, 31519 и модификации;Физические лица;Белый;;Технические неисправности отсутствуют
930001453.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2024.0;ВАЗ Granta (Гранта);Физические лица;Белый;;Технические неисправности отсутствуют
930001448.0;1.0;Скрылось с места ДТП;;А-класс (особо малый) до 3,5 м;; ;;;;Технические неисправности отсутствуют
930001448.0;2.0;Осталось на месте ДТП;;Велосипеды (без двигателя);; ;Физические лица;;;Технические неисправности отсутствуют
930001446.0;1.0;Осталось на месте ДТП;С передним приводом;А-класс (особо малый) до 3,5 м;2002.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930001446.0;2.0;Осталось на месте ДТП;;Велосипеды (без двигателя);; ;Физические лица;;;Технические неисправности отсутствуют
930001442.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2018.0;TOYOTA Corolla;Физические лица;Черный;;Технические неисправности отсутствуют
930001444.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2018.0;Прочие марки ТС Прочие марки и модели ТС;Физические лица;Черный;;Не устанавливались
930001444.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;1999.0;Прочие марки ТС Прочие марки и модели ТС;Физические лица;Белый;;Не устанавливались
930001444.0;3.0;Осталось на месте ДТП;Полноприводные;С-класс (малый средний, компактный) до 4,3 м;2002.0;Прочие марки ТС Прочие марки и модели ТС;Физические лица;Зеленый;;Технические неисправности отсутствуют
930001449.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2007.0;ВАЗ ВАЗ 2115 и модификации;Физические лица;Зеленый;;Технические неисправности отсутствуют
930001449.0;2.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2014.0;HONDA Stepwgn;Физические лица;Серый;;Технические неисправности отсутствуют
930001434.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2011.0;Прочие марки мотоциклов Прочие марки мотоциклов;Физические лица;Синий;;Технические неисправности отсутствуют
930001428.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;1997.0;TOYOTA Ipsum;Физические лица;Серый;;Технические неисправности отсутствуют
930001438.0;1.0;Осталось на месте ДТП;С передним приводом;Прочие легковые автомобили;2011.0;TOYOTA Wish;Физические лица;Серый;;Технические неисправности отсутствуют
930001438.0;2.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2022.0;MOTOLEVO Прочие модели Motolevo;Физические лица;Черный;;Технические неисправности отсутствуют
930001424.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2021.0;RENAULT Logan;Физические лица;Белый;;Технические неисправности отсутствуют
930001426.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;1999.0;HONDA HR-V;Физические лица;Белый;;Технические неисправности отсутствуют
930001423.0;1.0;Осталось на месте ДТП;Полноприводные;В-класс (малый) до 3,9 м;2004.0;HONDA CR-V;Физические лица;Серый;;Технические неисправности отсутствуют
930001422.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2001.0;Прочие марки мотоциклов Прочие марки мотоциклов;Физические лица;Иные цвета;;Технические неисправности отсутствуют
930001417.0;1.0;Осталось на месте ДТП;Полноприводные;В-класс (малый) до 3,9 м;1993.0;УАЗ УАЗ 3151, 31512, 31514, 31519 и модификации;Физические лица;Иные цвета;;Технические неисправности отсутствуют
930001416.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2024.0;ВАЗ Granta (Гранта);Физические лица;Белый;;Технические неисправности отсутствуют
930001416.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1996.0;TOYOTA Camry;Физические лица;Белый;;Технические неисправности отсутствуют
930001416.0;3.0;Осталось на месте ДТП;С передним приводом;Прочие легковые автомобили;2000.0;TOYOTA Liteace;Физические лица;Белый;;Технические неисправности отсутствуют
930001923.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2024.0;MOTOLEVO Прочие модели Motolevo;Физические лица;Зеленый;;Технические неисправности отсутствуют
930001923.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2008.0;ВАЗ Priora;Физические лица;Зеленый;;Технические неисправности отсутствуют
930001913.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2011.0;TOYOTA Corolla;Физические лица;Черный;;Технические неисправности отсутствуют
930001913.0;2.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2005.0;ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108;Физические лица;Серый;;Технические неисправности отсутствуют
930001907.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2023.0;ВАЗ Granta (Гранта);Физические лица;Белый;;Технические неисправности отсутствуют
930001897.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2014.0;HYUNDAI Solaris;Физические лица;Черный;;Технические неисправности отсутствуют
930001897.0;2.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2012.0;TOYOTA Wish;Физические лица;Черный;;Технические неисправности отсутствуют
930001901.0;1.0;Скрылось с места ДТП;Иное расположение рулевого управления;Мотоциклы;; ;Физические лица;Синий;;Технические неисправности отсутствуют
930001894.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2003.0;TOYOTA Wish;Физические лица;Желтый;;Технические неисправности отсутствуют
930001886.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2020.0;Прочие марки мотоциклов Прочие марки мотоциклов;Физические лица;Красный;;Технические неисправности отсутствуют
930001884.0;1.0;Осталось на месте ДТП;С задним приводом;В-класс (малый) до 3,9 м;1999.0;ГАЗ ГАЗ 3110, 3110-101, 3110-111, 3110-311, 3110-331, 3110-341, 3110-411, 3110-441, 3110-600;Физические лица;Фиолетовый;;Технические неисправности отсутствуют
930001877.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2004.0;ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108;Физические лица;Зеленый;;Технические неисправности отсутствуют
930001871.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2010.0;ВАЗ ВАЗ 2114 и модификации;Физические лица;Зеленый;;Технические неисправности отсутствуют
930001872.0;1.0;Осталось на месте ДТП;Полноприводные;Прочие легковые автомобили;2002.0;УАЗ УАЗ 3151, 31512, 31514, 31519 и модификации;Физические лица;Белый;;Технические неисправности отсутствуют
930001888.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2024.0;MOTO GUZZI Прочие модели Moto Guzzi;Физические лица;Синий;;Технические неисправности отсутствуют
930001879.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2003.0;TOYOTA Wish;Физические лица;Серый;;Технические неисправности отсутствуют
930001861.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;2012.0;УАЗ Patriot (Патриот);Физические лица;Серый;;Технические неисправности отсутствуют
930001861.0;2.0;Осталось на месте ДТП;;Прицепы к легковым автомобилям;2018.0; ;Физические лица;Серый;;Технические неисправности отсутствуют
930001863.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2002.0;TOYOTA Funcargo;Физические лица;Серый;;Технические неисправности отсутствуют
930001863.0;2.0;Осталось на месте ДТП;С передним приводом;Прочие легковые автомобили;2010.0;TOYOTA Прочие модели Toyota;Физические лица;Черный;;Технические неисправности отсутствуют
930001856.0;1.0;Осталось на месте ДТП;Полноприводные;Е-класс (высший средний, бизнес-класс) до 4,9 м;2007.0;BMW X5;Физические лица;Черный;;Технические неисправности отсутствуют
930001857.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2006.0;HONDA Fit Aria;Физические лица;Серый;;Технические неисправности отсутствуют
930001855.0;1.0;Скрылось с места ДТП;Иное расположение рулевого управления;Мотоциклы;; ;;;;Технические неисправности отсутствуют
930001852.0;1.0;Скрылось с места ДТП;;С-класс (малый средний, компактный) до 4,3 м;; ;;;;Технические неисправности отсутствуют
930001845.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2005.0;ВАЗ ВАЗ 2112 и модификации;Физические лица;Зеленый;;Технические неисправности отсутствуют
930001850.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2023.0;REGAL RAPTOR Прочие модели Regal Raptor;Физические лица;Не заполнено;;Технические неисправности отсутствуют
930001850.0;2.0;Осталось на месте ДТП;С передним приводом;Прочая спецтехника;2021.0;HYUNDAI Solaris;Прочие некоммерческие организации;Белый;;Технические неисправности отсутствуют
930001837.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2003.0;TOYOTA Vitz;Физические лица;Белый;;Технические неисправности отсутствуют
930001829.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2000.0;TOYOTA Прочие модели Toyota;Физические лица;Серый;;Технические неисправности отсутствуют
930001831.0;1.0;Осталось на месте ДТП;Полноприводные;В-класс (малый) до 3,9 м;2014.0;TOYOTA Highlander;Физические лица;Красный;;Технические неисправности отсутствуют
930001835.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2006.0;ВАЗ ВАЗ 2114 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930001835.0;2.0;Осталось на месте ДТП;;Велосипеды (без двигателя);2020.0;Прочие марки ТС Прочие марки и модели ТС;Физические лица;Красный;;Технические неисправности отсутствуют
930001826.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2025.0;ВАЗ Vesta (Веста);Физические лица;Серый;;Не устанавливались
930002398.0;1.0;Скрылось с места ДТП;;В-класс (малый) до 3,9 м;; ;;;;Технические неисправности отсутствуют
930001815.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2010.0;Прочие марки мотоциклов Прочие марки мотоциклов;Физические лица;Черный;;Технические неисправности отсутствуют
930001815.0;2.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2009.0;TOYOTA Wish;Физические лица;Белый;;Технические неисправности отсутствуют
930001799.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2007.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930001820.0;1.0;Осталось на месте ДТП;С задним приводом;Бортовые грузовые автомобили;1989.0;ГАЗ Прочие модели ГАЗ;Физические лица;Зеленый;;Неисправность рабочей тормозной системы
930001811.0;1.0;Осталось на месте ДТП;С задним приводом;Седельные тягачи;1991.0;КАМАЗ 5410;Физические лица;Зеленый;;Технические неисправности отсутствуют
930001797.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2008.0;ВАЗ ВАЗ 2115 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930001790.0;1.0;Осталось на месте ДТП;С передним приводом;Фургоны;1997.0;MITSUBISHI Прочие модели MITSUBISHI;Физические лица;Желтый;;Не устанавливались
930001790.0;2.0;Осталось на месте ДТП;С задним приводом;Е-класс (высший средний, бизнес-класс) до 4,9 м;2007.0;MERCEDES E-класс;Физические лица;Черный;;Технические неисправности отсутствуют
930001788.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2001.0;HONDA Stepwgn;Физические лица;Белый;;Технические неисправности отсутствуют
930001788.0;2.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2021.0;TOMOTO Прочие модели Tomoto;Физические лица;Синий;;Технические неисправности отсутствуют
930001780.0;2.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2024.0;MOTO GUZZI Прочие модели Moto Guzzi;Физические лица;Синий;;Технические неисправности отсутствуют
930001780.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2023.0;REGAL RAPTOR Прочие модели Regal Raptor;Физические лица;Черный;;Технические неисправности отсутствуют
930001800.0;1.0;Осталось на месте ДТП;Полноприводные;Фургоны;2025.0;ГАЗ 231079  Соболь  и модификации;Юридические лица, являющиеся коммерческими организациями;Белый;;Технические неисправности отсутствуют
930001779.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2023.0;DAEWOO Racer;Физические лица;Зеленый;;Технические неисправности отсутствуют
930001763.0;1.0;Осталось на месте ДТП;С передним приводом;Е-класс (высший средний, бизнес-класс) до 4,9 м;2015.0;УАЗ Patriot (Патриот);Физические лица;Серый;;Технические неисправности отсутствуют
930001771.0;1.0;Осталось на месте ДТП;С задним приводом;Фургоны;2011.0;КАМАЗ 4741;Физические лица;Оранжевый;;Технические неисправности отсутствуют
930001756.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2009.0;ВАЗ Priora;Физические лица;Серый;;Технические неисправности отсутствуют
930001756.0;2.0;Осталось на месте ДТП;Полноприводные;Е-класс (высший средний, бизнес-класс) до 4,9 м;2010.0;LEXUS GS;Физические лица;Черный;;Не устанавливались
930001751.0;1.0;Осталось на месте ДТП;Полноприводные;В-класс (малый) до 3,9 м;2002.0;УАЗ УАЗ 3151, 31512, 31514, 31519 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930001749.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2014.0;ВАЗ ВАЗ 2114 и модификации;Физические лица;Белый;;Технические неисправности отсутствуют
930001749.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2010.0;HONDA Прочие модели Honda;Физические лица;Серый;;Технические неисправности отсутствуют
930001735.0;1.0;Осталось на месте ДТП;Полноприводные;S-класс (высший, представительский класс) более 4,9 м;2006.0;TOYOTA Land Cruiser;Физические лица;Черный;;Технические неисправности отсутствуют
930001736.0;1.0;Осталось на месте ДТП;Полноприводные;Е-класс (высший средний, бизнес-класс) до 4,9 м;2004.0;MERCEDES E-класс;Физические лица;Черный;;Технические неисправности отсутствуют
930001726.0;1.0;Осталось на месте ДТП;С задним приводом;Минивэны и универсалы повышенной вместимости;2010.0;TOYOTA Hiace;Физические лица;Серый;;Технические неисправности отсутствуют
930001726.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2005.0;ВАЗ ВАЗ 2112 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930001725.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1993.0;Прочие марки ТС Прочие марки и модели ТС;Физические лица;Зеленый;;Технические неисправности отсутствуют
930001734.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2002.0;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;Серый;;Технические неисправности отсутствуют
930001723.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2011.0;HONDA Stream;Физические лица;Белый;;Технические неисправности отсутствуют
930001715.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2012.0;ВАЗ Granta (Гранта);Физические лица;Серый;;Технические неисправности отсутствуют
930001713.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2024.0;Прочие марки мотоциклов Прочие марки мотоциклов;Физические лица;Черный;;Технические неисправности отсутствуют
930001713.0;2.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2001.0;HONDA Odyssey;Физические лица;Синий;;Технические неисправности отсутствуют
930001712.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2000.0;TOYOTA Gaia;Физические лица;Серый;;Технические неисправности отсутствуют
930001705.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2007.0;TOYOTA Camry;Физические лица;Серый;;Технические неисправности отсутствуют
930001701.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2020.0;ВАЗ Largus (Ларгус);Юридические лица, являющиеся некоммерческими организациями;Белый;;Технические неисправности отсутствуют
930001701.0;2.0;Осталось на месте ДТП;Полноприводные;D-класс (средний) до 4,6 м;2018.0;TOYOTA 4runner;Юридические лица, являющиеся некоммерческими организациями;Белый;;Технические неисправности отсутствуют
930002753.0;1.0;Скрылось с места ДТП;;В-класс (малый) до 3,9 м;; ;;;;Не устанавливались
930001698.0;1.0;Скрылось с места ДТП;Иное расположение рулевого управления;Мотоциклы;; ;;;;Технические неисправности отсутствуют
930001667.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2007.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930001669.0;1.0;Осталось на месте ДТП;С задним приводом;Фургоны;2008.0;ИЖ 2715 и модификации;Физические лица;Белый;;Технические неисправности отсутствуют
930002400.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Квадроциклы;2015.0;Прочие марки ТС Прочие марки и модели ТС;Физические лица;Синий;;Технические неисправности отсутствуют
930002400.0;2.0;Осталось на месте ДТП;С задним приводом;Бортовые грузовые автомобили;1997.0;КАМАЗ 5321;Физические лица;Зеленый;;Технические неисправности отсутствуют
930002403.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2020.0;DAEWOO Racer;Физические лица;Зеленый;;Технические неисправности отсутствуют
930002403.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1981.0;TOYOTA Carina;Физические лица;Белый;;Технические неисправности отсутствуют
930002397.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2008.0;HONDA Accord;Физические лица;Черный;;Технические неисправности отсутствуют
930002397.0;2.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2023.0;Прочие марки мотоциклов Прочие марки мотоциклов;Физические лица;Белый;;Технические неисправности отсутствуют
930002394.0;1.0;Скрылось и установлено в срок до 1 суток;Полноприводные;Прочие легковые автомобили;2000.0;TOYOTA Hilux;Физические лица;Черный;;Технические неисправности отсутствуют
930002390.0;1.0;Осталось на месте ДТП;Полноприводные;Прочая спецтехника;2023.0;УАЗ УАЗ 3151, 31512, 31514, 31519 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930002392.0;1.0;Скрылось с места ДТП;;А-класс (особо малый) до 3,5 м;; ;;;;Технические неисправности отсутствуют
930002383.0;1.0;Осталось на месте ДТП;С задним приводом;Одноэтажные длиной не более 5 м;2011.0;TOYOTA Hiace;Физические лица;Серый;;Технические неисправности отсутствуют
930002383.0;2.0;Осталось на месте ДТП;;Прицепы прочие;2023.0; ;Физические лица;Серый;;Технические неисправности отсутствуют
930002382.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2005.0;ВАЗ ВАЗ 2115 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930002367.0;1.0;Скрылось и установлено в срок до 1 суток;С передним приводом;А-класс (особо малый) до 3,5 м;2002.0;ВАЗ ВАЗ 2115 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930002370.0;1.0;Скрылось с места ДТП;;D-класс (средний) до 4,6 м;; ;;;;Технические неисправности отсутствуют
930002358.0;1.0;Скрылось и установлено в срок до 1 суток;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2014.0;MAZDA Axela;Физические лица;Синий;;Технические неисправности отсутствуют
930002352.0;1.0;Скрылось с места ДТП;С передним приводом;D-класс (средний) до 4,6 м;2008.0;ВАЗ ВАЗ 2114 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930002352.0;2.0;Осталось на месте ДТП;С задним приводом;Прочие одноярусные;2024.0;YUTONG Прочие модели Yotong;Юридические лица, являющиеся коммерческими организациями;Белый;;Технические неисправности отсутствуют
930002356.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2007.0;HONDA Stepwgn;Физические лица;Белый;;Технические неисправности отсутствуют
930002339.0;1.0;Скрылось с места ДТП;С передним приводом;D-класс (средний) до 4,6 м;2003.0;ВАЗ ВАЗ 2112 и модификации;Физические лица;Красный;;Технические неисправности отсутствуют
930002339.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2023.0;ВАЗ Granta (Гранта);Хозяйствующие субъекты без прав юридического лица;Белый;;Технические неисправности отсутствуют
930002333.0;1.0;Скрылось с места ДТП;;В-класс (малый) до 3,9 м;; ;;;;Технические неисправности отсутствуют
930002330.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Тракторы;1970.0;MINSK Прочие модели Minsk;Физические лица;Серый;;Технические неисправности отсутствуют
930002319.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2014.0;TOYOTA Прочие модели Toyota;Физические лица;Белый;;Технические неисправности отсутствуют
930002293.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2008.0;ВАЗ Priora;Физические лица;Серый;;Технические неисправности отсутствуют
930002292.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2004.0;TOYOTA Premio;Физические лица;Серый;;Технические неисправности отсутствуют
930002289.0;1.0;Скрылось с места ДТП;;В-класс (малый) до 3,9 м;; ;;;;Технические неисправности отсутствуют
930002287.0;1.0;Осталось на месте ДТП;Полноприводные;В-класс (малый) до 3,9 м;2014.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930002287.0;2.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мопеды с двигателем внутреннего сгорания менее 50 см. куб.;2022.0;DAEWOO Racer;Физические лица;Синий;;Технические неисправности отсутствуют
930002272.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2017.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930002272.0;2.0;Осталось на месте ДТП;Иное расположение рулевого управления;Прочие легковые автомобили;2018.0;CHEVROLET Прочие модели Chevrolet;Физические лица;Синий;;Технические неисправности отсутствуют
930002274.0;1.0;Осталось на месте ДТП;Полноприводные;В-класс (малый) до 3,9 м;1985.0;ВАЗ  Нива  ВАЗ-2121 и модификации;Физические лица;Красный;;Технические неисправности отсутствуют
930002254.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2003.0;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;Зеленый;;Технические неисправности отсутствуют
930002264.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2022.0;PUCH Enduro;Физические лица;Иные цвета;;Технические неисправности отсутствуют
930002263.0;1.0;Осталось на месте ДТП;Полноприводные;Прочие легковые автомобили;2016.0;УАЗ Patriot (Патриот);Физические лица;Серый;;Технические неисправности отсутствуют
930002262.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2001.0;TOYOTA Corolla;Физические лица;Белый;;Технические неисправности отсутствуют
930002257.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2000.0;NISSAN Bleubird;Физические лица;Серый;;Технические неисправности отсутствуют
930002257.0;2.0;Осталось на месте ДТП;Полноприводные;Прочая спецтехника;2023.0;SHACMAN Прочие модели SHACMAN;Хозяйствующие субъекты без прав юридического лица;Белый;;Технические неисправности отсутствуют
930002246.0;1.0;Скрылось с места ДТП;Иное расположение рулевого управления;Мотоциклы;; ;;;;Технические неисправности отсутствуют
930002244.0;1.0;Осталось на месте ДТП;Полноприводные;Фургоны;2023.0;УАЗ 3909;Физические лица;Серый;;Технические неисправности отсутствуют
930002244.0;2.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2001.0;TOYOTA Gaia;Физические лица;Серый;;Технические неисправности отсутствуют
930002294.0;1.0;Скрылось с места ДТП;;Одноэтажные длиной от 8 до 12 м;; ;;;;Технические неисправности отсутствуют
930002237.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2007.0;Прочие марки ТС Прочие марки и модели ТС;Физические лица;Черный;;Технические неисправности отсутствуют
930002235.0;1.0;Осталось на месте ДТП;С задним приводом;Фургоны;1994.0;NISSAN Прочие модели грузовых Nissan;Физические лица;Белый;;Технические неисправности отсутствуют
930002232.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2024.0;DAEWOO Racer;Физические лица;Не заполнено;;Технические неисправности отсутствуют
930002227.0;1.0;Осталось на месте ДТП;Полноприводные;D-класс (средний) до 4,6 м;1998.0;SUBARU Forester;Физические лица;Белый;;Технические неисправности отсутствуют
930002226.0;1.0;Осталось на месте ДТП;С задним приводом;Самосвалы;2000.0;MITSUBISHI Прочие модели Mitsubishi;Физические лица;Белый;;Технические неисправности отсутствуют
930002226.0;2.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2000.0;TOYOTA Vitz;Физические лица;Серый;;Технические неисправности отсутствуют
930002219.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2007.0;TOYOTA Wish;Физические лица;Черный;;Технические неисправности отсутствуют
930002217.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;1999.0;TOYOTA Avensis;Физические лица;Зеленый;;Технические неисправности отсутствуют
930002212.0;1.0;Осталось на месте ДТП;С передним приводом;Прочие легковые автомобили;2002.0;HONDA Civic;Физические лица;Белый;;Технические неисправности отсутствуют
930002211.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2024.0;ВАЗ Granta (Гранта);Физические лица;Белый;;Технические неисправности отсутствуют
930002204.0;1.0;Осталось на месте ДТП;Полноприводные;С-класс (малый средний, компактный) до 4,3 м;1999.0;TOYOTA Harrier;Физические лица;Черный;;Технические неисправности отсутствуют
930002204.0;2.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;1990.0;TOYOTA Vista;Физические лица;Серый;;Технические неисправности отсутствуют
930002203.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2004.0;TOYOTA Corolla;Физические лица;Белый;;Технические неисправности отсутствуют
930002192.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1988.0;TOYOTA Carina;Физические лица;Серый;;Технические неисправности отсутствуют
